id,type,address,number,postal_code,municipality,province,location,public,available,hours,concat_address,location_geo,coords,lat,lon,alt
4998.0,,Van Eycklaan ,7.0,2370.0,Arendonk,Antwerpen,aan de ingang vh zwembad,,,,"Van Eycklaan  7, Antwerpen, 2370, Belgique","Zwembad Arendonk, 7, Van Eycklaan, De Vrij, Arendonk, Turnhout, Antwerpen, Vlaanderen, 2370, België / Belgique / Belgien","(51.32196725, 5.085550555108878, 0.0)",51.32196725,5.085550555108878,0.0
5000.0,,Heikant z/n ,,2370.0,Arendonk,Antwerpen,aan centrale gebouw op sportvelden,,,,"Heikant z/n  , Antwerpen, 2370, Belgique",,,,,
5001.0,,De Brulen ,2.0,2370.0,Arendonk,Antwerpen,thv ingang gemeenteschool,,,,"De Brulen  2, Antwerpen, 2370, Belgique","2, De Brulen, De Vrij, Arendonk, Turnhout, Antwerpen, Vlaanderen, 2370, België / Belgique / Belgien","(51.3377172, 5.100936437300089, 0.0)",51.3377172,5.100936437300089,0.0
5002.0,,Kerkstraat ,11.0,2370.0,Arendonk,Antwerpen,thv hoofdtoegang,,,,"Kerkstraat  11, Antwerpen, 2370, Belgique","11, Kerkstraat, Arendonk, Turnhout, Antwerpen, Vlaanderen, 2370, België / Belgique / Belgien","(51.3167243, 5.0859183, 0.0)",51.3167243,5.0859183,0.0
5026.0,,Hagenbroeksesteenweg,163.0,2500.0,Lier,Antwerpen,"glvl, keuken",,,,"Hagenbroeksesteenweg 163, Antwerpen, 2500, Belgique","163,165, Hagenbroeksesteenweg, Lier, Mechelen, Antwerpen, Vlaanderen, 2500, België / Belgique / Belgien","(51.148163100000005, 4.567349323378582, 0.0)",51.148163100000005,4.567349323378582,0.0
5027.0,,Middelmolenlaan ,148.0,2100.0,Deurne,Antwerpen,inkomhal aan receptie,,,,"Middelmolenlaan  148, Antwerpen, 2100, Belgique","Middelmolenlaan, Kruininge-Bremweide, Deurne-Noord, Deurne, Antwerpen, Vlaanderen, 2100, België / Belgique / Belgien","(51.2364526, 4.4737803, 0.0)",51.2364526,4.4737803,0.0
5028.0,,Edegemsesteenweg,100.0,2610.0,Wilrijk,Antwerpen,"tennishal, links",,,,"Edegemsesteenweg 100, Antwerpen, 2610, Belgique","100, Edegemsesteenweg, Wilrijk, Antwerpen, Vlaanderen, 2610, België / Belgique / Belgien","(51.1648221, 4.4083959, 0.0)",51.1648221,4.4083959,0.0
5034.0,,Liersebaan ,12.0,2240.0,Zandhoven,Antwerpen,"inkomhal,achter balie",,,,"Liersebaan  12, Antwerpen, 2240, Belgique","12, Liersebaan, Zandhoven, Antwerpen, Vlaanderen, 2240, België / Belgique / Belgien","(51.214392200000006, 4.659861012636997, 0.0)",51.214392200000006,4.659861012636997,0.0
5035.0,,Populierenhoeve,22.0,2240.0,Zandhoven,Antwerpen,inkomhal links,,,,"Populierenhoeve 22, Antwerpen, 2240, Belgique","22, Populierenhoeve, Zandhoven, Antwerpen, Vlaanderen, 2240, België / Belgique / Belgien","(51.20526945, 4.644456608277186, 0.0)",51.20526945,4.644456608277186,0.0
5036.0,,Schildebaan ,22.0,2240.0,Zandhoven,Antwerpen,niv sportvloer-1rechts nst lift,,,,"Schildebaan  22, Antwerpen, 2240, Belgique","22, Schildebaan, Zandhoven, Antwerpen, Vlaanderen, 2240, België / Belgique / Belgien","(51.2157932, 4.6546397020164525, 0.0)",51.2157932,4.6546397020164525,0.0
5047.0,,Neerveld,1.0,2550.0,Kontich,Antwerpen,"in gebouw N,in bureel verzending,glvl",,,,"Neerveld 1, Antwerpen, 2550, Belgique","Depot Carrefour, 1, Neerveld, Kontich, Antwerpen, Vlaanderen, 2550, België / Belgique / Belgien","(51.120112750000004, 4.458821083064331, 0.0)",51.120112750000004,4.458821083064331,0.0
5048.0,,Watertorenstraat,35.0,2250.0,Olen,Antwerpen,Aurubis-Afdeling conform,,,,"Watertorenstraat 35, Antwerpen, 2250, Belgique","35, Watertorenstraat, Onze-Lieve-Vrouw-Olen, Olen, Turnhout, Antwerpen, Vlaanderen, 2250, België / Belgique / Belgien","(51.1779576, 4.8812797, 0.0)",51.1779576,4.8812797,0.0
5050.0,,Grensstraat,9.0,2600.0,Berchem,Antwerpen,EHBO lokaal,,,,"Grensstraat 9, Antwerpen, 2600, Belgique","Sporthal Boeckenberg, 9, Grensstraat, Drakenhof-Langbaanvelden, Deurne-Zuid, Deurne, Antwerpen, Vlaanderen, 2100, België / Belgique / Belgien","(51.19562715, 4.471103053867676, 0.0)",51.19562715,4.471103053867676,0.0
5057.0,,J.P. De Nayerlaan,5.0,2860.0,Sint-Katelijne-Waver,Antwerpen,"inkomhal hoofdgebouw,niv 0",,,,"J.P. De Nayerlaan 5, Antwerpen, 2860, Belgique",,,,,
5059.0,,Molenstraat,8.0,2018.0,Antwerpen,Antwerpen,inkomhal,,,,"Molenstraat 8, Antwerpen, 2018, Belgique","8, Molenstraat, Harmonie, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien","(51.20738195, 4.405124873601062, 0.0)",51.20738195,4.405124873601062,0.0
5060.0,,Antwerpsestraat ,99.0,2500.0,Lier,Antwerpen, inkom,,,,"Antwerpsestraat  99, Antwerpen, 2500, Belgique","Thomas More Campus Lier, 99, Antwerpsestraat, Lier, Mechelen, Antwerpen, Vlaanderen, 2500, België / Belgique / Belgien","(51.133723149999994, 4.565706438725642, 0.0)",51.133723149999994,4.565706438725642,0.0
5078.0,,Bruul ,49.0,2800.0,Mechelen,Antwerpen,klantendienst 1ste verdiep,,,,"Bruul  49, Antwerpen, 2800, Belgique","Inno, 49, Bruul, Nekkerspoel, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.0260439, 4.4814195, 0.0)",51.0260439,4.4814195,0.0
5079.0,,Bredabaan ,967.0,2900.0,Schoten,Antwerpen,klantendienst 1ste verdiep,,,,"Bredabaan  967, Antwerpen, 2900, Belgique","Lunch Garden, 967, Bredabaan, De List, Schoten, Antwerpen, Vlaanderen, 2900, België / Belgique / Belgien","(51.2587269, 4.465568, 0.0)",51.2587269,4.465568,0.0
5081.0,,Meir ,80.0,2000.0,Antwerpen,Antwerpen,klantendienst 1ste verdiep,,,,"Meir  80, Antwerpen, 2000, Belgique","Shopping Stadsfeestzaal, 74-80, Meir, Antwerpen-Noord, Antwerpen, Vlaanderen, 2000, België / Belgique / Belgien","(51.2176374, 4.411307924461167, 0.0)",51.2176374,4.411307924461167,0.0
5165.0,,Kaliebaan ,30.0,2460.0,Tielen,Antwerpen,Wachtlokaal,,,,"Kaliebaan  30, Antwerpen, 2460, Belgique","30, Kaliebaan, Tielen, Kasterlee, Turnhout, Antwerpen, Vlaanderen, 2460, België / Belgique / Belgien","(51.24514125, 4.91216141307515, 0.0)",51.24514125,4.91216141307515,0.0
5169.0,,Kruibeeksesteenweg ,159.0,2070.0,Burcht,Antwerpen,Wachtlokaal Blok W lokaal 7,,,,"Kruibeeksesteenweg  159, Antwerpen, 2070, Belgique","159, Kruibeeksesteenweg, Oeverkant, Burcht, Zwijndrecht, Antwerpen, Vlaanderen, 2070, België / Belgique / Belgien","(51.195183799999995, 4.324483668502866, 0.0)",51.195183799999995,4.324483668502866,0.0
5176.0,,Bevrijdingsstraat,31.0,2280.0,Grobbendonk,Antwerpen,Blok 4 - buiten,,,,"Bevrijdingsstraat 31, Antwerpen, 2280, Belgique","31, Bevrijdingsstraat, Herentals, Turnhout, Antwerpen, Vlaanderen, 2200, België / Belgique / Belgien","(51.1728879, 4.8246891122561575, 0.0)",51.1728879,4.8246891122561575,0.0
5185.0,,Koningslei ,,2930.0,Brasschaat,Antwerpen,W10 - wachtlokaal,,,,"Koningslei  , Antwerpen, 2930, Belgique","Koningslei, Maria-ter-Heide, Brasschaat, Antwerpen, Vlaanderen, 2930, België / Belgique / Belgien","(51.3276789, 4.5148601, 0.0)",51.3276789,4.5148601,0.0
5186.0,,Koningslei,,2930.0,Brasschaat,Antwerpen,A36 - mess all-ranks,,,,"Koningslei , Antwerpen, 2930, Belgique","Koningslei, Maria-ter-Heide, Brasschaat, Antwerpen, Vlaanderen, 2930, België / Belgique / Belgien","(51.3276789, 4.5148601, 0.0)",51.3276789,4.5148601,0.0
5204.0,,Kapellensteenweg ,501.0,2920.0,Kalmthout,Antwerpen,"B-gebouw,centrale trappenhal",,,,"Kapellensteenweg  501, Antwerpen, 2920, Belgique","Sportzaal Heide, 501, Kapellensteenweg, Heide, Kalmthout, Antwerpen, Vlaanderen, 2920, België / Belgique / Belgien","(51.36164165, 4.466503013808221, 0.0)",51.36164165,4.466503013808221,0.0
5210.0,,Hagenbroeksesteenweg,167.0,2500.0,Lier,Antwerpen,glvl aan balie,,,,"Hagenbroeksesteenweg 167, Antwerpen, 2500, Belgique","167, Hagenbroeksesteenweg, Lier, Mechelen, Antwerpen, Vlaanderen, 2500, België / Belgique / Belgien","(51.148776049999995, 4.565349993041332, 0.0)",51.148776049999995,4.565349993041332,0.0
5213.0,,Houtdok-Noordkaai ,25.0,2030.0,Antwerpen,Antwerpen,"2de verd,links van lift",,,,"Houtdok-Noordkaai  25, Antwerpen, 2030, Belgique","Houtdok-Noordkaai, Eilandje, Antwerpen-Noord, Antwerpen, Vlaanderen, 2030, België / Belgique / Belgien","(51.2374292, 4.4132412, 0.0)",51.2374292,4.4132412,0.0
5215.0,,Smallestraat,2.0,2400.0,Mol,Antwerpen,inkomhal schouwburg Rex,,,,"Smallestraat 2, Antwerpen, 2400, Belgique","Rex, 2, Smallestraat, Mol, Turnhout, Antwerpen, Vlaanderen, 2400, België / Belgique / Belgien","(51.188812850000005, 5.119444134906734, 0.0)",51.188812850000005,5.119444134906734,0.0
5221.0,,Breendonkdorp,66.0,2870.0,Breendonk,Antwerpen,bezoekerscentrum brouwerij Duvel,,,,"Breendonkdorp 66, Antwerpen, 2870, Belgique",,,,,
5222.0,,Rijksweg,43.0,2870.0,Puurs,Antwerpen,Duvel Events,,,,"Rijksweg 43, Antwerpen, 2870, Belgique","43, Rijksweg, Puurs, Puurs-Sint-Amands, Mechelen, Antwerpen, Vlaanderen, 2870, België / Belgique / Belgien","(51.063780949999995, 4.323663436319306, 0.0)",51.063780949999995,4.323663436319306,0.0
5229.0,,Terlindehofstraat ,150.0,2170.0,Merksem,Antwerpen,EHBO lokaal,,,,"Terlindehofstraat  150, Antwerpen, 2170, Belgique",,,,,
5231.0,,Leuvensesteenweg ,129.0,2800.0,Mechelen,Antwerpen, glvl,,,,"Leuvensesteenweg  129, Antwerpen, 2800, Belgique","129, Leuvensesteenweg, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.018832200000006, 4.4942680469080605, 0.0)",51.018832200000006,4.4942680469080605,0.0
5232.0,,Jozef Verbertstraat,61.0,2800.0,Mechelen,Antwerpen,glvl,,,,"Jozef Verbertstraat 61, Antwerpen, 2800, Belgique","61, Jozef Verbertstraat, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.0009929, 4.4845031, 0.0)",51.0009929,4.4845031,0.0
5233.0,,Klein Begijnhof,16.0,2800.0,Mechelen,Antwerpen,glvl,,,,"Klein Begijnhof 16, Antwerpen, 2800, Belgique","Lokaal Dienstencentrum De Rooster, 16, Klein Begijnhof, Marokken, Nekkerspoel, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.032223, 4.4774925, 0.0)",51.032223,4.4774925,0.0
5234.0,,Schijfstraat,215.0,2800.0,Mechelen,Antwerpen,glvl,,,,"Schijfstraat 215, Antwerpen, 2800, Belgique","215, Schijfstraat, Katanga, Nekkerspoel, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.0401116, 4.474241256484035, 0.0)",51.0401116,4.474241256484035,0.0
5235.0,,Karmelietenstraat ,13.0,2800.0,Mechelen,Antwerpen, glvl,,,,"Karmelietenstraat  13, Antwerpen, 2800, Belgique","Lokaal dienstencentrum Den Deigem, 13, Karmelietenstraat, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.0255449, 4.4739222, 0.0)",51.0255449,4.4739222,0.0
5236.0,,Battelsesteenweg ,50.0,2800.0,Mechelen,Antwerpen,glvl,,,,"Battelsesteenweg  50, Antwerpen, 2800, Belgique","50, Battelsesteenweg, Marokken, Battel, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.0292934, 4.469087774931554, 0.0)",51.0292934,4.469087774931554,0.0
5237.0,,Frans Broerstraat,1.0,2800.0,Mechelen,Antwerpen,glvl,,,,"Frans Broerstraat 1, Antwerpen, 2800, Belgique",,,,,
5238.0,,Hendrik Speeqvest ,,2800.0,Mechelen,Antwerpen,glvl,,,,"Hendrik Speeqvest  , Antwerpen, 2800, Belgique",,,,,
